x_,y_,t_,day
1784591.216986811,2407690.7520648753,2011-02-14T20:00:14Z,day
1784595.4702837223,2407704.888508202,2011-02-14T20:10:19Z,day
1784587.5132830183,2407728.382154617,2011-02-14T20:20:11Z,day
1784599.5552542529,2407705.5706454148,2011-02-14T20:30:27Z,day
1784602.9621372425,2407611.4791874145,2011-02-14T20:40:25Z,day
1784593.1596710305,2407691.936561396,2011-02-14T20:50:19Z,day
1784585.4849076646,2407693.136076048,2011-02-14T21:00:45Z,day
1784560.0140890975,2407676.2163981497,2011-02-14T21:10:13Z,day
1784576.2889095314,2407673.899046238,2011-02-14T21:20:16Z,day
1784600.5676353078,2407684.8853546795,2011-02-14T21:30:18Z,day
1784572.4709609498,2407675.4738977225,2011-02-14T21:40:37Z,day
1784570.6591443543,2407675.6756769833,2011-02-14T21:50:24Z,day
1784600.8574899419,2407686.4471679754,2011-02-14T22:10:49Z,day
1784618.8319814492,2407695.076346835,2011-02-14T22:20:14Z,day
1785151.0404073384,2408517.3159033316,2011-02-16T12:00:54Z,day
1785153.4781929993,2408572.758712173,2011-02-16T12:10:46Z,day
1785145.5955392295,2408551.0298987217,2011-02-16T12:20:48Z,day
1785157.1906594606,2408525.9884359115,2011-02-16T12:30:40Z,day
1785146.9493954638,2408536.064654823,2011-02-16T12:41:28Z,day
1785152.3853545627,2408609.5845533884,2011-02-16T12:50:53Z,day
1785159.6489306588,2408544.0866926434,2011-02-16T13:00:52Z,day
1785161.6467585233,2408543.699549115,2011-02-16T13:10:19Z,day
1785154.0995353672,2408553.5194206014,2011-02-16T13:20:44Z,day
1785149.587783484,2408559.672545804,2011-02-16T13:30:41Z,day
1785157.856021631,2408533.186720983,2011-02-16T13:40:52Z,day
1785211.5039932982,2408524.1114487243,2011-02-16T13:50:40Z,day
1785132.8396654304,2408589.5893710298,2011-02-16T14:00:44Z,day
1785161.6829710344,2408530.7989311833,2011-02-16T14:10:46Z,day
1785223.9693668068,2408479.4877821505,2011-02-16T14:21:14Z,day
1785162.9025695827,2408523.829872087,2011-02-16T14:31:15Z,day
1785179.2423330096,2408522.080866788,2011-02-16T14:51:02Z,day
1785153.9283520577,2408543.4293565582,2011-02-16T15:21:18Z,day
1785156.6331913657,2408559.71407416,2011-02-16T15:41:45Z,day
1785199.3811237789,2408520.280444936,2011-02-16T17:31:45Z,day
1785161.1362732402,2408535.3206100925,2011-02-16T17:41:10Z,day
1785161.3954790896,2408541.9056565315,2011-02-16T17:50:52Z,day
1785176.947298626,2408540.130408536,2011-02-16T18:00:36Z,day
1785146.7116576363,2408551.892059597,2011-02-16T18:10:53Z,day
1785185.6129976597,2408489.080467871,2011-02-16T18:21:22Z,day
1785166.6236995906,2408542.6298845536,2011-02-16T18:31:15Z,day
1785137.2745585192,2408503.080033208,2011-02-16T18:41:04Z,day
1785158.1607793265,2408540.988511297,2011-02-16T20:20:45Z,day
1785150.2748379395,2408550.509766447,2011-02-16T20:30:35Z,day
1785128.1182155202,2408552.3596243886,2011-02-16T20:41:29Z,day
1785161.5549848229,2408535.8104943302,2011-02-16T20:50:40Z,day
1785146.475155909,2408539.788092779,2011-02-16T21:00:53Z,day
1785153.9657958818,2408550.455617806,2011-02-16T21:10:53Z,day
1785187.2256094832,2408534.3354620524,2011-02-16T21:41:26Z,day
1785217.3822919247,2408534.809774806,2011-02-16T21:51:23Z,day
1783773.579738999,2409397.4650625684,2011-02-18T11:50:35Z,day
1783757.727614133,2409419.0164536308,2011-02-18T12:00:38Z,day
1783765.0439866583,2409449.830726641,2011-02-18T12:10:52Z,day
1783748.360196719,2409416.47278358,2011-02-18T12:20:33Z,day
1783753.5135435418,2409394.783709317,2011-02-18T12:30:44Z,day
1783747.421856367,2409402.353980848,2011-02-18T12:40:30Z,day
1783744.9892464455,2409434.840726107,2011-02-18T12:50:54Z,day
1783754.622307772,2409440.421891626,2011-02-18T13:00:52Z,day
1783735.6513047947,2409430.834047553,2011-02-18T13:10:52Z,day
1783751.3830386847,2409440.0898917145,2011-02-18T13:20:19Z,day
1783740.744231854,2409438.255263589,2011-02-18T13:30:15Z,day
1783771.7953839095,2409436.7666070475,2011-02-18T13:40:45Z,day
1783773.568080016,2409426.334289273,2011-02-18T13:50:38Z,day
1783769.8406837066,2409430.5262204288,2011-02-18T14:00:18Z,day
1783737.0578257916,2409480.6427793982,2011-02-18T14:10:32Z,day
1783777.115627786,2409416.805347657,2011-02-18T14:20:21Z,day
1783760.9155715015,2409436.7582350923,2011-02-18T14:30:18Z,day
1783773.0953338202,2409421.4216308813,2011-02-18T14:40:48Z,day
1783763.9041360193,2409438.041400984,2011-02-18T14:50:17Z,day
1783761.8376641194,2409420.1522113746,2011-02-18T15:00:21Z,day
1783767.1641862225,2409421.6913857646,2011-02-18T15:10:20Z,day
1783771.376918788,2409420.7383625573,2011-02-18T15:20:12Z,day
1783758.1737472673,2409489.85516705,2011-02-18T15:30:53Z,day
1783759.7422599243,2409424.088153399,2011-02-18T15:40:17Z,day
1783760.5686316872,2409430.6810374656,2011-02-18T15:50:53Z,day
1783761.946466161,2409435.371986095,2011-02-18T16:00:21Z,day
1783753.1857698364,2409425.1972407973,2011-02-18T16:10:46Z,day
1783763.633184141,2409417.3395173163,2011-02-18T16:20:52Z,day
1783782.151309275,2409443.5988304685,2011-02-18T16:30:53Z,day
1783798.296966829,2409437.3340709135,2011-02-18T16:40:53Z,day
1783781.3726089771,2409373.66881666,2011-02-18T16:51:00Z,day
1783731.2320231465,2409465.318667701,2011-02-18T17:00:54Z,day
1783743.536294172,2409450.6547129573,2011-02-18T17:10:41Z,day
1783773.9960056061,2409421.8879461717,2011-02-18T17:20:52Z,day
1783726.7105964532,2409408.557950478,2011-02-18T17:30:15Z,day
1783726.4573797998,2409412.1269756183,2011-02-18T17:40:46Z,day
1783729.0419424875,2409408.0314355367,2011-02-18T17:50:20Z,day
1783711.7895569513,2409398.6676008706,2011-02-18T18:00:46Z,day
1783780.0310926256,2409405.7483239677,2011-02-18T18:11:03Z,day
1783749.890074556,2409487.499652654,2011-02-18T18:20:53Z,day
1783720.7341489408,2409402.5005408763,2011-02-18T18:30:37Z,day
1783735.998205287,2409434.304255527,2011-02-18T18:40:22Z,day
1783727.7907564826,2409419.4717629403,2011-02-18T18:50:37Z,day
1783708.5652748535,2409436.0426569656,2011-02-18T19:10:56Z,day
1783730.2416631563,2409419.1458775536,2011-02-18T19:20:40Z,day
1783644.1912521396,2409320.7662365315,2011-02-18T19:30:23Z,day
1783709.0652062814,2409478.9982689144,2011-02-18T19:40:53Z,day
1783719.468652982,2409426.685226331,2011-02-18T19:50:18Z,day
1783718.4515291096,2409411.0662568323,2011-02-18T20:00:17Z,day
1783742.0838873857,2409411.538605642,2011-02-18T22:30:34Z,day
1784559.9318191747,2407558.8097325475,2011-02-19T11:50:34Z,day
1784539.7559196078,2407566.6101702247,2011-02-19T12:00:40Z,day
1784586.8147577553,2407620.763643931,2011-02-19T12:11:02Z,day
1784561.1184191676,2407567.7968272367,2011-02-19T12:20:14Z,day
1784567.9151653205,2407576.323375908,2011-02-19T12:30:21Z,day
1784559.9448595308,2407573.306772452,2011-02-19T12:40:39Z,day
1784557.229128232,2407570.3769285358,2011-02-19T12:50:40Z,day
1784563.4533446943,2407581.351734313,2011-02-19T13:00:40Z,day
1784560.1505766003,2407576.456505327,2011-02-19T13:10:23Z,day
1784560.4718962538,2407573.8337916406,2011-02-19T13:20:15Z,day
1784546.977688168,2407573.733015548,2011-02-19T13:30:11Z,day
1784553.7809673436,2407574.727005911,2011-02-19T13:40:34Z,day
1784537.1726991693,2407576.7930682804,2011-02-19T13:50:52Z,day
1784560.5103258286,2407559.6131162997,2011-02-19T14:00:16Z,day
1784553.1664505869,2407571.50324997,2011-02-19T14:10:16Z,day
1784554.4424224389,2407562.813316631,2011-02-19T14:20:08Z,day
1784555.0441750567,2407574.934841431,2011-02-19T14:30:16Z,day
1784558.9947124883,2407585.4505731943,2011-02-19T14:40:14Z,day
1784558.142494592,2407581.0793524915,2011-02-19T14:50:10Z,day
1784554.7964429318,2407564.0343181873,2011-02-19T15:00:40Z,day
1784557.4689744215,2407566.758667477,2011-02-19T15:10:09Z,day
1784529.225789425,2407584.6008150163,2011-02-19T15:20:32Z,day
1784530.8034180002,2407580.3122609467,2011-02-19T15:30:23Z,day
1784532.1773766594,2407580.0180649445,2011-02-19T15:40:44Z,day
1784530.3669442015,2407576.8665994992,2011-02-19T15:50:37Z,day
1784534.2547938249,2407586.448645939,2011-02-19T16:00:46Z,day
1784519.9455627855,2407541.61614522,2011-02-19T16:11:04Z,day
1784529.2989054534,2407564.772273578,2011-02-19T16:20:46Z,day
1784527.0104250065,2407566.0668887678,2011-02-19T16:30:47Z,day
1784526.1609358813,2407526.483649848,2011-02-19T16:41:46Z,day
1784926.9429764831,2407445.1510572913,2011-02-19T16:51:00Z,day
1784777.6531891436,2407749.370031526,2011-02-19T17:00:52Z,day
1784779.6025657111,2407750.8432963984,2011-02-19T17:10:27Z,day
1784758.5448645933,2407756.7225906076,2011-02-19T17:20:34Z,day
1784779.1194432478,2407747.5243439777,2011-02-19T17:30:52Z,day
1784782.7321800778,2407749.139656039,2011-02-19T17:40:10Z,day
1784775.385818919,2407747.017359536,2011-02-19T17:50:16Z,day
1784779.7820358493,2407745.154883256,2011-02-19T18:00:16Z,day
1784784.6563724398,2407730.9906085534,2011-02-19T18:10:15Z,day
1784779.5266398336,2407749.894996388,2011-02-19T18:20:22Z,day
1784780.515867985,2407752.2085206383,2011-02-19T18:30:50Z,day
1784779.1138273638,2407754.7700289204,2011-02-19T18:40:22Z,day
1784781.5315279576,2407747.2238743757,2011-02-19T18:50:41Z,day
1784781.0892356304,2407757.225694545,2011-02-19T19:00:21Z,day
1784780.9932479751,2407754.389098272,2011-02-19T19:10:18Z,day
1784783.041854986,2407755.162358542,2011-02-19T19:20:15Z,day
1784781.9243754211,2407751.451687749,2011-02-19T19:30:11Z,day
1784778.098742864,2407754.6439988106,2011-02-19T19:40:20Z,day
1784778.6325046266,2407752.8526702737,2011-02-19T19:50:17Z,day
1784781.7403526315,2407765.121076711,2011-02-19T20:00:40Z,day
1784779.9823076283,2407733.1431855885,2011-02-19T20:10:52Z,day
1784776.333313253,2407756.7287859153,2011-02-19T20:20:27Z,day
1784774.2753655736,2407752.0139660584,2011-02-19T20:30:40Z,day
1784779.3704679415,2407747.6643069857,2011-02-19T20:40:24Z,day
1784777.4457220864,2407740.6266756626,2011-02-19T20:50:15Z,day
1784761.841436896,2407759.388394616,2011-02-19T21:00:22Z,day
1784792.4146133082,2407739.0220492505,2011-02-19T21:10:53Z,day
1784781.6203837844,2407748.646126672,2011-02-19T21:20:52Z,day
1784786.5793816398,2407740.8186801076,2011-02-19T21:30:40Z,day
1784828.197956582,2407671.2302563204,2011-02-19T21:40:52Z,day
1784776.523311152,2407754.695092655,2011-02-19T21:50:49Z,day
1784786.5626310406,2407758.398202393,2011-02-19T22:00:14Z,day
1784799.7976620814,2407757.8292582673,2011-02-19T22:10:14Z,day
1784994.5481968208,2408102.8990868996,2011-02-19T22:20:44Z,day
1785044.201425122,2408093.333248591,2011-02-19T22:30:17Z,day
1784902.9131202525,2409493.1454160474,2011-02-25T11:40:10Z,day
1784906.0659150835,2409520.8144198367,2011-02-25T11:50:18Z,day
1784902.8325952902,2409499.7875467073,2011-02-25T12:00:18Z,day
1784908.65600305,2409466.4165300033,2011-02-25T12:10:39Z,day
1784905.4967450632,2409464.69039543,2011-02-25T12:20:42Z,day
1784916.007569295,2409507.3481021477,2011-02-25T12:30:40Z,day
1784913.0010574572,2409493.8517320114,2011-02-25T12:40:52Z,day
1784923.046464432,2409492.3428622903,2011-02-25T12:51:11Z,day
1784899.6087618754,2409483.89668115,2011-02-25T13:00:39Z,day
1784896.958432187,2409480.1321916347,2011-02-25T13:10:38Z,day
1784919.993012043,2409478.4104024917,2011-02-25T13:21:07Z,day
1784940.3188512465,2409478.170396639,2011-02-25T13:30:53Z,day
1784928.6960788658,2409482.4861452878,2011-02-25T13:40:59Z,day
1784980.2052590065,2409512.744657135,2011-02-25T13:50:52Z,day
1784923.3744004604,2409481.9120099884,2011-02-25T14:00:46Z,day
1784923.6374284807,2409466.3319924595,2011-02-25T14:10:46Z,day
1784922.341467769,2409490.9466285463,2011-02-25T14:20:40Z,day
1784926.759407893,2409494.165983666,2011-02-25T14:30:47Z,day
1784923.367935416,2409489.685761889,2011-02-25T14:40:11Z,day
1784922.1608642514,2409484.7708143685,2011-02-25T14:50:14Z,day
1784949.9669891512,2409481.574678808,2011-02-25T15:00:12Z,day
1784920.6091639982,2409487.434498227,2011-02-25T15:10:18Z,day
1784910.8940405927,2409497.6928786826,2011-02-25T15:20:29Z,day
1784963.0036048149,2409495.8096712222,2011-02-25T15:30:25Z,day
1784895.408778051,2409496.0269722366,2011-02-25T15:40:46Z,day
1784893.0702601732,2409467.356835604,2011-02-25T15:50:40Z,day
1784897.9665459786,2409471.4132624906,2011-02-25T16:00:40Z,day
1784840.9938495203,2409461.565026138,2011-02-25T16:10:47Z,day
1784891.182513542,2409481.9999038097,2011-02-25T16:20:43Z,day
1784915.1965534508,2409491.926598045,2011-02-25T16:30:52Z,day
1784933.933347357,2409491.056719933,2011-02-25T16:40:37Z,day
1784915.348220391,2409492.7665434335,2011-02-25T16:50:46Z,day
1784908.8222103198,2409493.709670804,2011-02-25T17:00:58Z,day
1784905.8823367776,2409487.855103243,2011-02-25T17:11:34Z,day
1784917.7392966168,2409496.8485042397,2011-02-25T17:20:51Z,day
1784911.5379663522,2409493.113946897,2011-02-25T17:31:14Z,day
1784917.8695777538,2409489.6094808597,2011-02-25T17:40:52Z,day
1784923.7953953668,2409492.497669474,2011-02-25T17:50:51Z,day
1784912.2091657787,2409502.0821963577,2011-02-25T18:00:36Z,day
1784919.0679168329,2409493.8217747225,2011-02-25T18:10:50Z,day
1784907.6413496905,2409496.7829599604,2011-02-25T18:20:46Z,day
1784926.102892928,2409496.192277208,2011-02-25T18:30:20Z,day
1784924.2818419046,2409480.553979821,2011-02-25T18:40:51Z,day
1784921.759158955,2409488.7870588456,2011-02-25T18:50:55Z,day
1784920.5228674395,2409486.4952206784,2011-02-25T19:01:09Z,day
1784889.6621086812,2409494.7432775865,2011-02-25T19:10:36Z,day
1784848.3786087218,2409529.964679577,2011-02-25T19:21:23Z,day
1784919.0735281634,2409494.960112934,2011-02-25T19:31:41Z,day
1784912.0549819767,2409487.907674573,2011-02-25T19:40:53Z,day
1784919.785768402,2409493.01595644,2011-02-25T19:51:02Z,day
1784907.7802375306,2409504.64863452,2011-02-25T20:00:37Z,day
1784919.4013381372,2409477.5578902387,2011-02-25T20:10:52Z,day
1784939.3916453812,2409577.145527931,2011-02-25T20:20:58Z,day
1784928.8457105898,2409494.6727047097,2011-02-25T20:30:58Z,day
1784914.134486822,2409531.9290959993,2011-02-25T20:40:52Z,day
1784939.8803399482,2409461.3557445556,2011-02-25T20:50:46Z,day
1784917.5984370525,2409475.2234343607,2011-02-25T21:00:57Z,day
1784908.2371980895,2409505.963019684,2011-02-25T21:10:48Z,day
1784914.253377525,2409483.364668638,2011-02-25T21:20:52Z,day
1784916.4814392887,2409489.647490792,2011-02-25T21:30:50Z,day
1784868.9939880366,2409440.5786045315,2011-02-25T21:40:52Z,day
1784948.068355582,2409445.9112077244,2011-02-25T22:01:04Z,day
1784880.0745518645,2409487.5978898043,2011-02-25T22:11:23Z,day
1785470.889083489,2409221.462002815,2011-02-26T11:40:37Z,day
1785470.1932820848,2409213.303136674,2011-02-26T11:50:16Z,day
1785468.3536479946,2409218.551480392,2011-02-26T12:00:43Z,day
1785469.7375821336,2409223.0376991495,2011-02-26T12:10:46Z,day
1785469.722834757,2409216.2349960566,2011-02-26T12:20:32Z,day
1785473.0833284298,2409218.69825192,2011-02-26T12:30:15Z,day
1785476.386809946,2409218.655697362,2011-02-26T12:40:52Z,day
1785472.8527417139,2409216.254592772,2011-02-26T12:50:16Z,day
1785452.3010742688,2409211.9835728537,2011-02-26T13:00:14Z,day
1785474.4012904144,2409211.2816883484,2011-02-26T13:10:14Z,day
1785467.3827409828,2409217.1839214987,2011-02-26T13:20:18Z,day
1785472.828669978,2409214.560561763,2011-02-26T13:30:17Z,day
1785478.7696993263,2409225.9402966844,2011-02-26T13:40:17Z,day
1785484.304305188,2409220.972061444,2011-02-26T13:50:18Z,day
1785428.6043882498,2409171.70655004,2011-02-26T14:00:44Z,day
1785462.8376394704,2409207.3530697315,2011-02-26T14:10:19Z,day
1785476.356291079,2409214.559741012,2011-02-26T14:20:46Z,day
1785478.0534324902,2409214.664095327,2011-02-26T14:30:18Z,day
1785477.4950588455,2409211.453497668,2011-02-26T14:40:17Z,day
1785476.381536127,2409218.114643557,2011-02-26T14:50:19Z,day
1785477.587763052,2409213.175310162,2011-02-26T15:00:46Z,day
1785479.5140865063,2409215.9756641244,2011-02-26T15:10:16Z,day
1785471.4728883335,2409220.164978376,2011-02-26T15:20:35Z,day
1785485.3729029032,2409208.3394583235,2011-02-26T15:30:40Z,day
1785489.0896791662,2409215.251672515,2011-02-26T15:40:33Z,day
1785459.4715790541,2409198.8932579122,2011-02-26T15:50:56Z,day
1785479.2974943498,2409205.0592923546,2011-02-26T16:00:23Z,day
1785466.770893282,2409194.378469407,2011-02-26T16:10:11Z,day
1785472.2732070258,2409214.6468910445,2011-02-26T16:20:20Z,day
1785487.4858193165,2409211.586099446,2011-02-26T16:30:37Z,day
1785476.0430900669,2409215.7027997207,2011-02-26T16:40:46Z,day
1785469.060618953,2409225.2199300234,2011-02-26T16:50:16Z,day
1785488.8672201717,2409199.889152454,2011-02-26T17:00:18Z,day
1785476.2367680655,2409231.6442200295,2011-02-26T17:10:15Z,day
1785472.2673265121,2409206.961936652,2011-02-26T17:20:49Z,day
1785460.4319970845,2409214.8444459587,2011-02-26T17:30:54Z,day
1785455.7547293021,2409210.3228065013,2011-02-26T17:40:52Z,day
1785464.8932531516,2409223.690636804,2011-02-26T17:50:38Z,day
1785481.6027518455,2409200.2086339397,2011-02-26T18:00:22Z,day
1785490.2750756624,2409175.7945255195,2011-02-26T18:10:12Z,day
1785461.7824743192,2409232.9900279245,2011-02-26T18:20:09Z,day
1785489.1541519514,2409177.6990666953,2011-02-26T18:30:10Z,day
1785474.372544483,2409217.8099074773,2011-02-26T18:40:16Z,day
1785465.0722325114,2409243.6368722226,2011-02-26T18:50:40Z,day
1785474.7199777092,2409216.6634917217,2011-02-26T19:00:52Z,day
1785463.9017603754,2409247.263902602,2011-02-26T19:10:23Z,day
1785478.070565182,2409207.375098518,2011-02-26T19:20:36Z,day
1785463.8894945674,2409236.6487264084,2011-02-26T19:30:46Z,day
1785467.0329582293,2409212.9891907554,2011-02-26T19:40:40Z,day
1785488.635990204,2409206.4956337535,2011-02-26T19:50:39Z,day
1785509.0669654787,2409219.51274789,2011-02-26T20:00:40Z,day
1785496.2527922373,2409213.598828536,2011-02-26T20:10:13Z,day
1785446.6860679844,2409214.5093747578,2011-02-26T20:20:53Z,day
1785501.0705194464,2409215.5926608066,2011-02-26T20:30:40Z,day
1785438.1682347283,2409202.0125111504,2011-02-26T20:40:40Z,day
1785497.8284860565,2409215.270785995,2011-02-26T20:50:51Z,day
1785492.8949570868,2409219.7845082483,2011-02-26T21:00:16Z,day
1785482.6543781229,2409215.4234732524,2011-02-26T21:10:16Z,day
1785473.7891866956,2409219.7387206955,2011-02-26T21:20:11Z,day
1785481.162852412,2409216.4245723365,2011-02-26T21:30:09Z,day
1785490.9702626683,2409217.8574075247,2011-02-26T21:40:12Z,day
1785608.8088429042,2409244.172761808,2011-02-26T21:50:17Z,day
1785468.8249773607,2409224.9802174466,2011-02-26T22:00:21Z,day
1785450.2410787225,2409225.517800543,2011-02-26T22:10:19Z,day
1785460.4023668182,2409213.631471513,2011-02-26T22:20:27Z,day
1785471.2656590196,2409210.0892481776,2011-02-26T22:30:40Z,day
1785469.9975971603,2409212.6135058478,2011-02-26T22:40:40Z,day
1785479.7706267992,2409242.1078466834,2011-02-27T11:40:21Z,day
1785475.0966826458,2409224.7580784857,2011-02-27T11:50:19Z,day
1785474.1921962004,2409208.9235281413,2011-02-27T12:00:52Z,day
1785470.6295543744,2409236.8478903733,2011-02-27T12:11:25Z,day
1785485.819117481,2409265.813694925,2011-02-27T12:20:41Z,day
1785477.38023068,2409215.4575174465,2011-02-27T12:30:52Z,day
1785471.2157755364,2409205.2651306777,2011-02-27T12:40:56Z,day
1785465.9237206462,2409207.029187976,2011-02-27T12:50:40Z,day
1785471.8366546105,2409217.5064024506,2011-02-27T13:00:22Z,day
1785477.3346665208,2409213.6779870265,2011-02-27T13:10:46Z,day
1785475.921847011,2409199.4914484858,2011-02-27T13:20:41Z,day
1785478.2425501086,2409161.096351942,2011-02-27T13:30:21Z,day
1785466.9072570172,2409207.745092235,2011-02-27T13:40:49Z,day
1785475.2304193235,2409222.4698346513,2011-02-27T14:00:56Z,day
1785472.1786478744,2409214.1650335,2011-02-27T14:10:29Z,day
1785464.207880512,2409249.530247852,2011-02-27T14:20:26Z,day
1785483.3782162196,2409251.486409914,2011-02-27T14:30:19Z,day
1785481.0791336498,2409212.7639040626,2011-02-27T14:50:23Z,day
1785473.9684802457,2409241.373352456,2011-02-27T15:01:10Z,day
1785473.0575802024,2409213.4204594167,2011-02-27T15:10:46Z,day
1785468.6290317657,2409360.423800258,2011-02-27T15:20:39Z,day
1785466.401626881,2409208.3256299887,2011-02-27T15:30:52Z,day
1785484.6579747999,2409198.9586199573,2011-02-27T15:40:53Z,day
1785472.3681108817,2409210.3395274286,2011-02-27T15:50:23Z,day
1785473.387241077,2409199.9922091463,2011-02-27T16:00:17Z,day
1785471.2483114349,2409214.633244127,2011-02-27T16:10:20Z,day
1785476.6176976785,2409211.980226811,2011-02-27T16:20:17Z,day
1785481.6633782499,2409215.337477165,2011-02-27T16:30:18Z,day
1785475.2072550487,2409217.1811702703,2011-02-27T16:40:17Z,day
1785472.9867532593,2409216.183046054,2011-02-27T16:50:20Z,day
1785474.5946092596,2409216.346595872,2011-02-27T17:00:46Z,day
1785475.3980592606,2409216.870435301,2011-02-27T17:10:19Z,day
1785475.419219565,2409215.267539981,2011-02-27T17:20:17Z,day
1785471.4609426428,2409216.096403,2011-02-27T17:30:16Z,day
1785478.5356833588,2409204.4304880495,2011-02-27T17:40:37Z,day
1785476.5316706852,2409210.547128326,2011-02-27T17:50:16Z,day
1785469.8350163407,2409216.008959226,2011-02-27T18:00:18Z,day
1785483.154413583,2409209.3746797782,2011-02-27T18:10:19Z,day
1785475.6272290475,2409224.4246454835,2011-02-27T18:20:40Z,day
1785472.7281064223,2409213.927971714,2011-02-27T18:30:18Z,day
1785445.4812236405,2409178.1829643836,2011-02-27T18:40:49Z,day
1785485.9025715154,2409219.1693772874,2011-02-27T18:50:21Z,day
1785482.5637671964,2409226.014230225,2011-02-27T19:00:17Z,day
1785474.5755219962,2409219.45453665,2011-02-27T19:10:38Z,day
1785471.1164405446,2409209.2039177176,2011-02-27T19:20:16Z,day
1785481.1425859001,2409234.956778785,2011-02-27T19:30:46Z,day
1785472.8290636435,2409214.101249668,2011-02-27T19:40:40Z,day
1785488.9716789462,2409210.5032596923,2011-02-27T19:50:17Z,day
1785506.9473290092,2409194.890633611,2011-02-27T20:00:46Z,day
1785500.9912060648,2409207.970659139,2011-02-27T20:10:40Z,day
1785482.103121267,2409216.3721862556,2011-02-27T20:20:37Z,day
1785474.0923510483,2409214.3782327487,2011-02-27T20:30:13Z,day
1785470.4560173582,2409220.71600848,2011-02-27T20:40:11Z,day
1785466.374458592,2409244.8763669273,2011-02-27T20:50:53Z,day
1785475.3297487444,2409163.999593624,2011-02-27T21:00:54Z,day
1785487.5675628886,2409217.543328517,2011-02-27T21:10:13Z,day
1785338.535069386,2409186.224228734,2011-02-27T21:20:53Z,day
1785477.0481323989,2409210.0265886113,2011-02-27T21:30:52Z,day
